split,site_id,patch_id,sample_id,patch_key,sample_key,spatial_group_id,patch_row_start,patch_col_start,year,month,n_valid_points,rh95_median,rh95_max,s2_valid_aoi_fraction,patch_height_p90,patch_height_bin,patch_height_bin_label,n_gedi_occurrences,n_unique_gedi
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2019_M05,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2019_M05,IFRAN6_SG_0000,0,1536,2019,5,124,4.0,17.6299991607666,0.9994990697008732,8.408,3,"[8,10)",124,124
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2019_M06,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2019_M06,IFRAN6_SG_0000,0,1536,2019,6,124,4.0,17.6299991607666,0.9994990697008732,8.408,3,"[8,10)",124,124
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2019_M07,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2019_M07,IFRAN6_SG_0000,0,1536,2019,7,127,3.9600000381469727,17.6299991607666,0.9994990697008732,8.396,3,"[8,10)",127,127
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2019_M08,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2019_M08,IFRAN6_SG_0000,0,1536,2019,8,127,3.9600000381469727,17.6299991607666,0.9994990697008732,8.396,3,"[8,10)",127,127
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2019_M09,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2019_M09,IFRAN6_SG_0000,0,1536,2019,9,127,3.9600000381469727,17.6299991607666,0.9994990697008732,8.396,3,"[8,10)",127,127
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2020_M05,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2020_M05,IFRAN6_SG_0000,0,1536,2020,5,49,5.239999771118164,14.029999732971191,0.9994990697008732,9.662,3,"[8,10)",49,49
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2020_M06,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2020_M06,IFRAN6_SG_0000,0,1536,2020,6,49,5.239999771118164,14.029999732971191,0.9994990697008732,9.662,3,"[8,10)",49,49
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2020_M07,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2020_M07,IFRAN6_SG_0000,0,1536,2020,7,46,5.385000228881836,14.029999732971191,0.9994990697008732,9.739999999999998,3,"[8,10)",46,46
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2020_M08,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2020_M08,IFRAN6_SG_0000,0,1536,2020,8,46,5.385000228881836,14.029999732971191,0.9994990697008732,9.739999999999998,3,"[8,10)",46,46
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2020_M09,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2020_M09,IFRAN6_SG_0000,0,1536,2020,9,46,5.385000228881836,14.029999732971191,0.9994990697008732,9.739999999999998,3,"[8,10)",46,46
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2021_M05,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2021_M05,IFRAN6_SG_0000,0,1536,2021,5,9,4.809999942779541,11.380000114440918,0.9994990697008732,9.052,3,"[8,10)",9,9
train,Ifran_6,Ifran_6_r000000_c001536,Ifran_6_r000000_c001536_Y2021_M06,Ifran_6|Ifran_6_r000000_c001536,Ifran_6|Ifran_6_r000000_c001536_Y2021_M06,IFRAN6_SG_0000,0,1536,2021,6,9,4.809999942779541,11.380000114440918,0.9994990697008732,9.052,3,"[8,10)",9,9
